step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d
244,1,0.0,5.373905294382082,3.158837484114326,7.5220383950483205,3.1588375568389893
245,1,0.0,5.424864107094546,3.151473179669967,7.555632359744793,3.151473045349121
246,1,0.0,5.476313396502935,3.1442174578542406,7.5896891612889945,3.1442174911499023
247,1,0.0,5.52768274933822,3.137072545232131,7.623483671686274,3.1370725631713867
248,1,0.0,5.579344547508179,3.130038035399504,7.6575678742199145,3.130038022994995
249,1,0.0,5.630694595416716,3.123115537346267,7.691326690824222,3.1231155395507812
250,1,0.0,5.6823855872114715,3.116305796121749,7.725649824193291,3.1163058280944824
251,1,0.0,5.733574429482506,3.10960923012953,7.759166815357714,3.109609365463257
252,1,0.0,5.7849846684551585,3.103026287234529,7.792978084365498,3.1030263900756836
253,1,0.0,5.836836347956498,3.09655777007935,7.827431259483357,3.096557855606079
254,1,0.0,5.888219111702227,3.090204665692261,7.861283079305946,3.0902047157287598
255,1,0.0,5.93932634552259,3.0839671501644106,7.894739166326847,3.0839669704437256
256,1,0.0,5.991205779474875,3.0778468565901256,7.928946469756269,3.0778467655181885
257,1,0.0,6.042864381542354,3.0718434310586615,7.963074542305932,3.071843385696411
258,1,0.0,6.094209441030524,3.065957228194351,7.996815990421362,3.0659570693969727
259,1,0.0,6.145571824964196,3.0601903008101035,8.030387478465336,3.060190439224243
260,1,0.0,6.197206611646847,3.0545418860091558,8.064397041355983,3.054542064666748
261,1,0.0,6.228943427494956,3.0545469856246705,8.098032013818102,3.054547071456909
262,1,0.0,6.2626401554841395,3.035979450619572,8.131613934081713,3.0359795093536377
263,1,0.0,6.296265545824265,3.017430236569091,8.164929233879548,3.017430305480957
264,1,0.0,6.330201046738773,2.998899902130386,8.198408535584662,2.9988999366760254
265,1,0.0,6.3646847456393,2.9803876664664557,8.232541020483623,2.9803876876831055
266,1,0.0,6.399705112794662,2.9618950708185614,8.266852464463412,2.961894989013672
267,1,0.0,6.434758562065072,2.9434212726015883,8.301029429352132,2.9434213638305664
268,1,0.0,6.469299545464595,2.924967773344732,8.33453913555547,2.9249677658081055
269,1,0.0,6.504030798879696,2.9065340289222914,8.36821788640141,2.90653395652771
270,1,0.0,6.539043441192346,2.888120815225318,8.40194256529424,2.8881208896636963
271,1,0.0,6.574365251766473,2.869728522017952,8.4358183412021,2.8697285652160645
272,1,0.0,6.610431378794259,2.851357560146128,8.470257705075605,2.8513574600219727
